Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,0.35,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50,925,462500,161875,0.35,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65,1075,698750,174687.5,0.25,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60,1200,720000,360000,0.5,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40,550,220000,66000,0.3,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25,850,212500,74375,0.35,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35,850,297500,104125,0.35,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,35,675,236250,82687.5,0.35,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98437.5,0.45,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,40,500,200000,60000,0.3,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45,700,315000,94500,0.3,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50,975,487500,243750,0.5,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45,900,405000,141750,0.35,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45,900,405000,141750,0.35,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50,825,412500,144375,0.35,Outlet
